Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo
Ovince Saint Preux,0.8333333333333333,0.9493670886075948,0.7954545454545459,0.3101330603889457,0.0632380952380952,0.0456242223143923,0.0538793103448275,0.48,0.4240506329113924,0.0005111111111111,0.5282846715328468,0.2387706855791962,0.2521246458923513,0.5619596541786743,0.4615384615384615,0.1194029850746268,0.08,0.48,0.37,0.7105263157894737,0.8095238095238095,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Muslim Salikhov,0.8333333333333333,0.8987341772151899,0.3409090909090913,0.3398157625383828,0.0556190476190476,0.0464537536291995,0.0,0.63,0.4493670886075949,0.0004111111111111,0.6021897810218978,0.1127997298210064,0.0793201133144475,0.1152737752161383,0.5,0.0746268656716417,0.02,0.49,0.33,0.5263157894736842,0.238095238095238,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Quillan Salkilld,0.125,0.8881698783994927,0.4571483784237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135651894611932,0.1974874970231007,0.0545954438334642,0.106609907120743,0.4395820433436532,0.295953488372093,0.3053122697880003,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Dylan Salvador,0.4166666666666667,0.8881698783994927,0.4571483784237942,0.4442169907881269,0.2203809523809524,0.0,0.0,0.47,0.0,0.1844444444444444,0.010948905109489,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.01,0.0,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Vinicius Salvador,0.2916666666666667,0.8481012658227848,0.3636363636363637,0.5609007164790175,0.1238095238095238,0.0149315636665284,0.0,0.48,0.550632911392405,0.0011888888888888,0.5766423357664233,0.0705842620736237,0.0396600566572237,0.0230547550432276,0.5,0.0,0.01,0.43,0.11,0.3684210526315789,0.3333333333333333,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,
Cory Sandhagen,0.5,0.8987341772151899,0.3409090909090913,0.5138178096212896,0.0659047619047619,0.0493571132310244,0.0323275862068965,0.5700000000000001,0.3987341772151899,0.0003333333333333,0.7874087591240876,0.2853765619723066,0.0963172804532578,0.377521613832853,0.2692307692307693,0.1044776119402985,0.03,0.44,0.32,0.4473684210526315,0.238095238095238,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Shaheen Santana,0.5,0.8881698783994927,0.4571483784237942,0.0839303991811668,0.0314285714285714,0.0,0.2963362068965517,0.4,0.0,0.7277777777777777,0.0072992700729927,0.000337723741979,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0263157894736842,0.0,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Daniel Santos,0.3333333333333332,0.8481012658227848,0.2045454545454545,0.436028659160696,0.0975238095238095,0.0788054749066777,0.0,0.51,0.4620253164556962,0.0004222222222222,0.7198905109489051,0.0368118878757176,0.065155807365439,0.1037463976945244,0.2307692307692307,0.044776119402985,0.02,0.37,0.5,0.3157894736842105,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,
Edivan Santos,0.4583333333333332,0.9620253164556962,0.7045454545454546,0.1586489252814739,0.135047619047619,0.0,0.0,0.26,0.1582278481012658,0.0,0.6021897810218978,0.0037149611617696,0.0169971671388102,0.0,0.0,0.0,0.0,0.49,0.0,0.0263157894736842,0.0,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Gabriel Santos,0.25,0.8734177215189873,0.3409090909090913,0.4564994882292733,0.1148571428571428,0.180008295313148,0.1336206896551724,0.45,0.4240506329113924,0.0,0.6633211678832116,0.0307328605200945,0.0424929178470254,0.0057636887608069,0.1153846153846153,0.044776119402985,0.04,0.55,0.47,0.2631578947368421,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Keisuke Sasu,0.3333333333333332,0.8881698783994927,0.4571483784237942,0.2824974411463664,0.0460952380952381,0.1559518871837411,0.2025862068965517,0.48,0.3924050632911392,0.0,0.4370437956204379,0.0178993583248902,0.0339943342776204,0.0028818443804034,0.0,0.0,0.0,0.49,0.4,0.0263157894736842,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
