event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 79: Nemesis,Georges St-Pierre,Matt Hughes,W,L,0,0,28 of 40,5 of 13,70%,38%,97 of 117,10 of 19,3 of 3,0 of 3,100%,0%,3,0,0,0,7:00,0:17,18 of 27,3 of 11,8 of 9,2 of 2,2 of 4,0 of 0,4 of 12,0 of 6,2 of 3,2 of 2,22 of 25,3 of 5
UFC 79: Nemesis,Chuck Liddell,Wanderlei Silva,W,L,0,1,58 of 175,44 of 177,33%,24%,59 of 179,45 of 178,2 of 2,0 of 0,100%,---,0,0,0,0,1:10,0:02,51 of 163,31 of 161,3 of 4,6 of 6,4 of 8,7 of 10,52 of 165,40 of 171,6 of 10,4 of 5,0 of 0,0 of 1
UFC 79: Nemesis,Eddie Sanchez,Soa Palelei,W,L,0,0,52 of 115,21 of 37,45%,56%,145 of 212,27 of 43,1 of 5,1 of 1,20%,100%,0,0,0,0,3:21,5:49,39 of 98,6 of 18,9 of 10,8 of 12,4 of 7,7 of 7,28 of 79,5 of 15,24 of 35,16 of 20,0 of 1,0 of 2
UFC 79: Nemesis,Lyoto Machida,Rameau Thierry Sokoudjou,W,L,1,0,21 of 48,6 of 24,43%,25%,40 of 68,19 of 38,0 of 0,2 of 4,---,50%,5,2,1,0,5:34,0:22,12 of 36,4 of 20,3 of 5,0 of 1,6 of 7,2 of 3,10 of 17,4 of 20,0 of 1,1 of 2,11 of 30,1 of 2
UFC 79: Nemesis,Rich Clementi,Melvin Guillard,W,L,0,0,6 of 9,5 of 18,66%,27%,10 of 13,5 of 18,2 of 2,1 of 1,100%,100%,2,0,1,0,1:48,0:28,1 of 4,5 of 18,1 of 1,0 of 0,4 of 4,0 of 0,6 of 8,5 of 17,0 of 1,0 of 1,0 of 0,0 of 0
UFC 79: Nemesis,James Irvin,Luiz Cane,W,L,0,0,5 of 19,9 of 20,26%,45%,5 of 19,10 of 21,0 of 1,1 of 1,0%,100%,0,0,0,0,0:01,0:12,2 of 15,6 of 17,1 of 1,2 of 2,2 of 3,1 of 1,5 of 19,8 of 19,0 of 0,0 of 0,0 of 0,1 of 1
UFC 79: Nemesis,Manvel Gamburyan,Nate Mohr,W,L,0,0,3 of 6,2 of 3,50%,66%,8 of 12,7 of 8,1 of 3,0 of 0,33%,---,1,0,0,0,0:59,0:12,2 of 5,2 of 3,0 of 0,0 of 0,1 of 1,0 of 0,2 of 4,1 of 2,0 of 0,0 of 0,1 of 2,1 of 1
UFC 79: Nemesis,Dean Lister,Jordan Radev,W,L,0,0,31 of 99,20 of 89,31%,22%,38 of 109,49 of 118,2 of 10,0 of 0,20%,---,0,0,0,0,2:37,0:46,17 of 71,12 of 74,9 of 20,2 of 2,5 of 8,6 of 13,24 of 85,16 of 75,1 of 6,3 of 9,6 of 8,1 of 5
UFC 79: Nemesis,Roan Carneiro,Tony DeSouza,W,L,0,0,24 of 27,9 of 15,88%,60%,73 of 77,37 of 44,3 of 3,0 of 0,100%,---,2,1,0,1,4:47,2:18,19 of 22,6 of 12,0 of 0,3 of 3,5 of 5,0 of 0,6 of 8,0 of 5,4 of 5,5 of 5,14 of 14,4 of 5
UFC 79: Nemesis,Mark Bocek,Doug Evans,W,L,0,0,26 of 58,22 of 66,44%,33%,87 of 129,52 of 97,7 of 17,1 of 1,41%,100%,0,1,0,1,10:38,0:52,16 of 48,14 of 58,5 of 5,7 of 7,5 of 5,1 of 1,3 of 23,14 of 52,12 of 14,8 of 14,11 of 21,0 of 0
UFC 78: Validation,Rashad Evans,Michael Bisping,W,L,0,0,23 of 87,40 of 96,26%,41%,38 of 108,52 of 112,6 of 16,2 of 2,37%,100%,0,0,0,0,7:42,0:34,22 of 86,23 of 78,1 of 1,11 of 11,0 of 0,6 of 7,18 of 71,25 of 78,1 of 4,15 of 18,4 of 12,0 of 0
UFC 78: Validation,Thiago Silva,Houston Alexander,W,L,0,0,22 of 35,2 of 8,62%,25%,33 of 46,2 of 8,1 of 1,1 of 1,100%,100%,0,0,0,0,1:56,0:29,16 of 29,0 of 5,5 of 5,1 of 2,1 of 1,1 of 1,4 of 5,0 of 6,3 of 3,2 of 2,15 of 27,0 of 0
UFC 78: Validation,Karo Parisyan,Ryo Chonan,W,L,0,0,49 of 110,35 of 87,44%,40%,117 of 186,57 of 110,7 of 9,0 of 0,77%,---,0,0,0,1,7:24,1:50,45 of 105,15 of 61,1 of 1,13 of 16,3 of 4,7 of 10,19 of 54,18 of 61,5 of 9,17 of 24,25 of 47,0 of 2
