Name,Style,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws
Tom Aspinall,Freestyle,31.0,77.0,78.0,8.07,2.89,3.27,1.63,65.0,100.0,4.09,122.0,81.0,17.0,50.0,12.0,0.0,3.0,67.0,100.0,15.0,3.0,0.0
Jose Augusto,,31.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Ottman Azaitar,Freestyle,33.0,68.0,71.0,5.73,4.96,0.0,0.0,48.0,100.0,1.28,175.0,43.0,16.0,8.0,10.0,1.0,2.0,52.0,13.0,2.0,0.0,
Abdul Azeem Badakhshi,,27.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Ignacio Bahamondes,Freestyle,26.0,75.0,75.5,7.15,4.38,0.0,0.36,58.0,86.0,0.54,709.0,550.0,33.0,8.0,10.0,4.0,1.0,47.0,0.0,15.0,5.0,0.0
Bryan Barberena,Striker,34.0,72.0,72.5,5.35,4.59,0.13,0.27,44.0,50.0,0.4,703.0,897.0,202.0,92.0,11.0,5.0,2.0,48.0,22.0,18.0,12.0,0.0
Edson Barboza,Striker,38.0,71.0,75.0,4.11,4.65,0.45,0.08,56.0,73.0,0.66,732.0,1380.0,65.0,60.0,14.0,8.0,1.0,44.0,50.0,24.0,12.0,0.0
Raoni Barcelos,Jiu-Jitsu,36.0,67.5,67.0,5.22,4.79,1.86,0.55,61.0,85.0,0.55,749.0,537.0,46.0,133.0,8.0,13.0,3.0,52.0,33.0,18.0,5.0,0.0
Daniel Barez,Freestyle,34.0,66.0,66.0,3.8,5.32,4.07,1.63,55.0,92.0,0.81,553.0,63.0,5.0,2.0,7.0,2.0,6.0,53.0,31.0,16.0,6.0,0.0
Danny Barlow,MMA,28.0,74.0,79.0,5.72,3.48,0.0,0.0,52.0,100.0,0.54,552.0,145.0,7.0,6.0,5.0,2.0,1.0,51.0,0.0,9.0,0.0,0.0
Shonte Barnes,,36.0,71.0,76.0,2.32,1.55,0.0,0.0,68.0,60.0,0.0,466.0,16.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0
James Barnes,,41.0,68.0,71.0,0.57,3.02,1.08,0.0,39.0,40.0,0.0,469.0,5.0,3.0,0.0,0.0,0.0,0.0,35.0,17.0,0.0,1.0,0.0
Chris Barnett,Boxing,37.0,69.0,75.0,4.41,5.87,0.0,0.0,41.0,33.0,0.45,503.0,100.0,11.0,37.0,18.0,5.0,0.0,49.0,0.0,23.0,8.0,0.0
Marc-Andre Barriault,Striker,34.0,73.0,74.0,6.12,5.67,0.21,0.11,52.0,67.0,0.32,647.0,566.0,226.0,66.0,10.0,5.0,1.0,48.0,25.0,16.0,7.0,0.0
Javid Basharat,MMA,28.0,69.0,69.0,5.42,2.97,1.7,0.19,62.0,86.0,0.0,795.0,319.0,31.0,81.0,5.0,2.0,6.0,54.0,41.0,14.0,1.0,0.0
Cameron Bates,,,,,,,,,,,,,,,,,,,,,,,
Bryan Battle,Freestyle,29.0,73.0,77.0,4.52,3.74,1.12,0.56,45.0,48.0,0.56,461.0,199.0,41.0,3.0,3.0,2.0,6.0,52.0,29.0,11.0,2.0,0.0
Mario Bautista,Freestyle,31.0,69.0,72.0,5.69,3.99,2.25,1.04,54.0,67.0,0.17,520.0,374.0,86.0,33.0,3.0,5.0,6.0,49.0,45.0,14.0,2.0,0.0
Donavan Beard,,33.0,,,0.0,5.77,0.0,0.0,29.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
Rolando Bedoya,Striker,27.0,71.0,74.0,7.29,6.38,0.0,0.0,53.0,33.0,0.0,900.0,304.0,24.0,0.0,4.0,7.0,3.0,49.0,0.0,14.0,4.0,0.0
Allan Begosso,,27.0,,,1.8,7.73,0.0,2.0,34.0,25.0,0.0,900.0,12.0,2.0,13.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,
Yousri Belgaroui,,31.0,,,2.2,3.2,0.0,0.0,51.0,75.0,0.0,900.0,32.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,
Cody Belisle,,30.0,,,,,,,,,,,,,,,,,,,,,
Gabriel Benitez,Striker,35.0,68.0,71.0,5.26,4.49,0.22,0.86,64.0,56.0,0.43,556.0,658.0,19.0,54.0,9.0,4.0,10.0,42.0,50.0,23.0,13.0,0.0
Khadzhimurat Bestaev,,34.0,,,6.15,10.0,0.0,0.0,43.0,0.0,78.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0,,
Blake Bilder,,33.0,,,3.81,4.15,0.31,0.62,54.0,71.0,0.0,724.0,169.0,13.0,2.0,1.0,2.0,4.0,48.0,8.0,8.0,2.0,1.0
Chris Birchler,,36.0,75.0,,9.35,14.83,0.0,0.0,35.0,0.0,263.0,41.0,0.0,0.0,0.0,0.0,0.0,47.0,7.0,4.0,0.0,,
Simon Biyong,,32.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Jan Błachowicz,MMA,41.0,74.0,78.0,3.41,2.91,1.09,0.34,53.0,69.0,0.34,786.0,679.0,105.0,110.0,9.0,11.0,9.0,50.0,50.0,29.0,10.0,1.0
Sherrard Blackledge,,29.0,,,3.7,3.13,4.0,0.0,55.0,43.0,0.0,900.0,65.0,39.0,7.0,0.0,0.0,0.0,50.0,33.0,1.0,1.0,0.0
Da'Mon Blackshear,MMA,29.0,70.0,72.0,4.28,4.14,2.33,0.78,48.0,67.0,0.0,580.0,159.0,58.0,31.0,2.0,3.0,9.0,47.0,38.0,14.0,7.0,1.0
Curtis Blaydes,MMA,33.0,76.0,80.0,3.54,1.91,5.69,0.0,59.0,32.0,0.18,516.0,265.0,73.0,241.0,13.0,5.0,0.0,50.0,53.0,18.0,5.0,0.0
Dashawn Boatwright,,35.0,72.0,76.0,0.0,52.5,0.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,
Gaston Bolanos,Striker,31.0,67.0,70.5,3.88,3.49,0.0,0.0,49.0,50.0,0.0,705.0,71.0,0.0,20.0,6.0,0.0,0.0,44.0,7.0,4.0,0.0,
Denys Bondar,MMA,31.0,66.0,69.0,4.59,5.16,3.99,0.0,57.0,63.0,0.0,527.0,104.0,10.0,7.0,4.0,1.0,9.0,51.0,58.0,14.0,5.0,0.0
Ismael Bonfim,Boxer,28.0,68.0,71.5,5.8,3.16,1.07,0.0,70.0,77.0,0.71,631.0,216.0,22.0,6.0,9.0,7.0,4.0,55.0,33.0,20.0,4.0,0.0
Michael Bonnette,,34.0,,,,,,,,,,,,,,,,,,,,,
Branden Bordeaux,,,,,,,,,,,,,,,,,,,,,,,
Kevin Borjas,,26.0,65.0,68.0,4.92,6.7,0.0,0.0,49.0,61.0,0.0,732.0,175.0,3.0,2.0,8.0,1.0,0.0,40.0,0.0,9.0,3.0,0.0
Caio Borralho,MMA,31.0,73.5,75.0,2.91,2.06,1.99,0.5,60.0,77.0,0.5,680.0,181.0,35.0,48.0,5.0,7.0,4.0,60.0,63.0,16.0,1.0,0.0
Zach Borrego,,26.0,,,0.0,1.94,0.0,0.0,33.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
Tanner Boser,Karate,32.0,74.0,75.5,4.7,2.75,0.0,0.0,58.0,63.0,0.27,659.0,451.0,39.0,26.0,11.0,7.0,2.0,53.0,21.0,10.0,1.0,
Anvar Boynazarov,,34.0,,,0.0,7.83,0.0,0.0,29.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
Sean Brady,Brazilian Jiu-Jitsu,31.0,70.0,72.0,3.77,3.55,3.29,1.21,61.0,88.0,0.17,744.0,279.0,6.0,42.0,3.0,8.0,5.0,53.0,58.0,16.0,1.0,0.0
Ramiz Brahimaj,MMA,31.0,70.0,72.0,1.74,3.69,1.61,1.61,45.0,44.0,0.0,560.0,71.0,10.0,0.0,0.0,0.0,10.0,42.0,36.0,10.0,5.0,0.0
Elves Brener,Jiu-Jitsu,26.0,70.0,72.5,3.99,5.3,1.23,0.0,48.0,76.0,0.49,731.0,215.0,11.0,17.0,3.0,2.0,11.0,48.0,24.0,16.0,5.0,0.0
Marcos Brigagao,,27.0,,,3.07,3.27,0.0,0.0,26.0,36.0,0.0,900.0,36.0,10.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
Joanderson Brito,Striker,29.0,68.0,72.0,3.35,2.65,3.11,0.62,46.0,63.0,0.31,414.0,91.0,22.0,49.0,7.0,2.0,7.0,52.0,77.0,17.0,3.0,1.0
Kaik Brito,,26.0,,,2.8,3.87,0.0,2.0,55.0,56.0,0.0,900.0,31.0,8.0,3.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,
TJ Brown,MMA,33.0,69.0,72.0,3.37,2.89,3.41,1.31,49.0,37.0,0.0,762.0,284.0,48.0,53.0,4.0,3.0,10.0,45.0,58.0,17.0,11.0,0.0
Randy Brown,,33.0,75.0,78.0,4.38,3.2,0.72,0.64,55.0,70.0,0.4,626.0,617.0,131.0,75.0,7.0,7.0,5.0,47.0,39.0,19.0,5.0,0.0
Matt Brown,Brawler,42.0,72.0,75.0,3.76,2.92,1.68,1.3,55.0,64.0,0.6,553.0,586.0,276.0,177.0,17.0,2.0,7.0,55.0,47.0,26.0,19.0,0.0
Travis Browne,,40.0,78.5,79.0,2.93,4.31,1.21,0.22,43.0,75.0,0.66,482.0,248.0,56.0,96.0,0.0,0.0,0.0,41.0,69.0,18.0,7.0,1.0
Cody Brundage,Wrestler,30.0,72.0,72.0,1.62,2.63,2.31,0.92,41.0,69.0,0.46,354.0,50.0,8.0,47.0,5.0,2.0,3.0,54.0,50.0,10.0,6.0,0.0
Robert Bryczek,Boxing,33.0,72.0,75.0,2.13,4.47,0.0,0.0,60.0,100.0,0.0,900.0,30.0,2.0,0.0,11.0,5.0,1.0,24.0,17.0,6.0,0.0,
Lukasz Brzeski,Striker,32.0,75.0,78.0,4.9,3.51,0.46,0.46,54.0,37.0,0.0,653.0,268.0,33.0,19.0,6.0,2.0,1.0,50.0,50.0,9.0,5.0,1.0
Joaquin Buckley,Freestyle,30.0,70.0,76.0,4.25,3.12,1.69,0.0,58.0,69.0,0.9,613.0,405.0,28.0,132.0,13.0,5.0,0.0,36.0,44.0,19.0,6.0,0.0
Martin Buday,Jiu-Jitsu,32.0,76.0,77.0,4.84,5.54,0.21,0.21,52.0,100.0,0.42,614.0,224.0,112.0,11.0,7.0,5.0,2.0,54.0,25.0,14.0,2.0,0.0
Dylan Budka,Freestyle,24.0,72.0,75.0,1.04,1.8,3.38,0.68,34.0,100.0,0.0,667.0,6.0,13.0,4.0,1.0,4.0,2.0,61.0,38.0,7.0,3.0,0.0
Modestas Bukauskas,Kickboxer,30.0,75.0,76.0,3.21,4.11,0.38,0.19,50.0,71.0,0.0,591.0,217.0,29.0,7.0,9.0,3.0,2.0,42.0,67.0,16.0,6.0,0.0
Felipe Bunes,Brazilian Jiu-Jitsu,34.0,66.97,,5.25,8.72,3.15,0.0,41.0,0.0,571.0,49.0,1.0,0.0,2.0,3.0,8.0,55.0,33.0,13.0,7.0,0.0,
Justin Burlinson,,26.0,73.0,74.0,1.24,3.09,0.0,9.28,62.0,100.0,0.0,97.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,
Nate Burnard,,25.0,,,,,,,,,,,,,,,,,,,,,
Gilbert Burns,Brazilian Jiu-Jitsu,38.0,70.0,71.0,3.29,3.42,2.24,0.5,54.0,50.0,0.22,731.0,661.0,83.0,138.0,6.0,6.0,9.0,49.0,39.0,22.0,7.0,0.0
Herbert Burns,Jiu-Jitsu,36.0,69.0,73.5,1.73,4.6,3.0,2.5,42.0,67.0,0.5,300.0,28.0,13.0,11.0,1.0,2.0,8.0,40.0,43.0,11.0,5.0,0.0
JP Buys,,27.0,65.0,67.0,1.88,3.02,1.55,2.32,40.0,25.0,0.0,388.0,38.0,12.0,23.0,3.0,1.0,5.0,40.0,25.0,9.0,6.0,0.0
Dennis Buzukja,MMA,26.0,69.0,70.5,4.16,5.09,0.8,0.27,45.0,73.0,0.53,674.0,184.0,33.0,17.0,5.0,6.0,1.0,43.0,30.0,12.0,4.0,0.0
Ricky Calatayud,,40.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Charlie Campbell,MMA,28.0,72.0,72.5,5.55,3.73,2.95,0.0,55.0,71.0,0.74,407.0,89.0,22.0,2.0,6.0,3.0,0.0,54.0,40.0,9.0,2.0,0.0
