Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Taekwondo,Style_Wrestler,Style_Wrestling
Sovannahry Em,0.36,0.8889035806844025,0.4685351665785302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11365440253987762,0.15714589084731367,0.06892529852818662,0.08620764647035797,0.43581227436823106,0.322202166064982,0.34046098306026107,0.18890056022408963,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carla Esparza,0.6,0.8356164383561644,0.2903225806451615,0.1923419412288513,0.26633663366336635,0.42933333333333334,0.02965235173824131,0.6470588235294118,0.47000000000000003,0.0,0.6975,0.17260656883298392,0.1381578947368421,0.5070921985815603,0.23529411764705882,0.18461538461538463,0.04819277108433735,0.4,0.35000000000000003,0.7692307692307693,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jodie Esquibel,0.64,0.8356164383561644,0.3548387096774195,0.365093499554764,0.7297029702970298,0.1,0.0,0.6235294117647059,0.8300000000000001,0.0,0.75,0.1509433962264151,0.05263157894736842,0.02127659574468085,0.058823529411764705,0.07692307692307693,0.0,0.31,0.21,0.23076923076923078,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sijara Eubanks,0.68,0.8767123287671232,0.5483870967741935,0.3829029385574354,0.33960396039603963,0.2533333333333333,0.03374233128834356,0.6705882352941176,0.67,0.00012222222222222221,0.6725000000000001,0.2928022361984626,0.08552631578947367,0.425531914893617,0.1764705882352941,0.07692307692307693,0.0,0.43,0.45,0.3076923076923077,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ashlee Evans-Smith,0.6,0.9315068493150684,0.5806451612903225,0.35886019590382906,0.45445544554455447,0.12666666666666665,0.0,0.6352941176470588,0.5,0.0,0.6141666666666667,0.21593291404612158,0.2149122807017544,0.13829787234042554,0.1764705882352941,0.046153846153846156,0.0,0.34,0.23,0.23076923076923078,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tonya Evinger,0.84,0.9246575342465753,0.7419354838709675,0.1032947462154942,0.398019801980198,0.124,0.0950920245398773,0.4588235294117647,0.33,0.0,0.48250000000000004,0.026554856743535988,0.03289473684210526,0.010638297872340425,0.47058823529411764,0.06153846153846154,0.08433734939759037,0.43,0.3,0.7307692307692308,0.38095238095238093,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jessica Eye,0.6,0.9041095890410958,0.4838709677419355,0.3437221727515583,0.4148514851485149,0.07733333333333332,0.04601226993865031,0.6588235294117647,0.5700000000000001,0.0,0.7250000000000001,0.5185185185185185,0.28289473684210525,0.0851063829787234,0.1764705882352941,0.16923076923076924,0.012048192771084338,0.37,0.41000000000000003,0.576923076923077,0.5238095238095237,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Melinda Fábián,0.5600000000000002,0.9041095890410958,0.4516129032258065,0.35886019590382906,0.39603960396039606,0.0,0.0,0.7411764705882353,1.0,0.0005555555555555556,0.75,0.06848357791754017,0.05043859649122807,0.0,0.0,0.0,0.04819277108433735,0.42,0.0,0.15384615384615385,0.14285714285714285,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zarah Fairn,0.7200000000000001,0.9315068493150684,0.8709677419354835,0.4051647373107747,0.7326732673267328,0.0,0.0,0.5411764705882353,0.6,0.0,0.47000000000000003,0.11180992313067784,0.02412280701754386,0.0,0.23529411764705882,0.03076923076923077,0.0,0.31,0.0,0.23076923076923078,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Kalindra Faria,0.6,0.9178082191780821,0.2903225806451615,0.19857524487978628,0.14257425742574256,0.17466666666666666,0.06748466257668712,0.5294117647058824,0.2,0.0,0.38083333333333336,0.01397624039133473,0.017543859649122806,0.08156028368794326,0.4117647058823529,0.09230769230769231,0.060240963855421686,0.56,0.67,0.6923076923076923,0.38095238095238093,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
